Gender,Age,Hospital Type,Visit Type,Waiting Time,Nurse Staff Behaviour,Doctor Communication,Hospital Cleanliness,Overall Satisfaction,Return Intention,Biggest Problem,Recommendation,Treatment Quality,Waiting Area Facilities,Respect Privacy,Medicine Explanation,Charges,Occupation,Age1,Nurse Staff Behaviour Score,Hospital Cleanliness Score,Overall_satisfaction_Avergae,Waiting Time Number
Female,25-35,Government,OPD (Doctor Consultation ),15-30 minutes,Neutral,Agree,Neutral,4,2,,Maybe,3,Neutral,Neutral,Agree,Reasonable,Student,30,3,3,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Neutral,Disagree,Neutral,3,1,Short consultation,No,3,Neutral,Neutral,Neutral,Cheap,Student,65,3,3,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Neutral,Neutral,3,3,Rude staff behavior,Yes,3,Agree,Neutral,Neutral,Reasonable,Student,65,4,3,3.038461538,10
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Strongly Agree,Strongly Agree,Agree,1,3,Long lines,Yes,5,Strongly Agree,Strongly Agree,Strongly Agree,Very expensive,Student,65,5,4,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,3,Long lines,Yes,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very expensive,Student,65,1,1,3.038461538,10
Female,25-35,Private clinic,In-Patient (Admitted/Hospitalized),Less than 15 minutes,Agree,Agree,Agree,4,3,Short consultation,Yes,3,Agree,Strongly Agree,Agree,Reasonable,Student,30,4,3,3.038461538,45
Female,15-25,Private,OPD (Doctor Consultation ),30-60 minutes,Strongly Agree,Strongly Agree,Agree,4,3,Long lines,Yes,3,Agree,Neutral,Disagree,Reasonable,Student,65,3,3,3.038461538,10
Female,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Agree,Neutral,4,2,Cost,Yes,5,Neutral,Agree,Disagree,Cheap,Student,65,3,5,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Disagree,Strongly Agree,Strongly Agree,4,1,Long lines,Yes,5,Strongly Disagree,Neutral,Agree,Reasonable,Student,65,4,4,3.038461538,22
Female,25-35,Private,Follow-up/Routine Checkup,15-30 minutes,Agree,Agree,Neutral,1,2,Short consultation,Yes,3,Agree,Neutral,Strongly Agree,Expensive,Government Job,65,4,3,3.038461538,10
Female,15-25,Private,Follow-up/Routine Checkup,15-30 minutes,Agree,Neutral,Neutral,1,3,Long lines,Yes,3,Neutral,Agree,Agree,Reasonable,Student,30,4,4,3.038461538,22
Male,15-25,Private clinic,Follow-up/Routine Checkup,Less than 15 minutes,Agree,Agree,Agree,1,3,Short consultation,Yes,5,Disagree,Agree,Agree,Very expensive,Student,65,5,1,3.038461538,10
